O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,teleworkable,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,2010 Census Code
11-1011.00,Chief Executives,1,11-1011.00,Chief Executives,11-1011,Chief Executives,0010
11-1011.03,Chief Sustainability Officers,1,11-1011.03,Chief Sustainability Officers,11-1011,Chief Executives,0010
11-1021.00,General and Operations Managers,1,11-1021.00,General and Operations Managers,11-1021,General and Operations Managers,0020
11-2011.00,Advertising and Promotions Managers,1,11-2011.00,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,0040
11-2021.00,Marketing Managers,1,11-2021.00,Marketing Managers,11-2021,Marketing Managers,0050
11-2022.00,Sales Managers,1,11-2022.00,Sales Managers,11-2022,Sales Managers,0050
11-2031.00,Public Relations and Fundraising Managers,1,11-2032.00,Public Relations Managers,11-2032,Public Relations Managers,0060
11-2031.00,Public Relations and Fundraising Managers,1,11-2033.00,Fundraising Managers,11-2033,Fundraising Managers,0060
11-3011.00,Administrative Services Managers,1,11-3012.00,Administrative Services Managers,11-3012,Administrative Services Managers,0100
11-3011.00,Administrative Services Managers,1,11-3013.00,Facilities Managers,11-3013,Facilities Managers,0100
11-3021.00,Computer and Information Systems Managers,1,11-3021.00,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers,0110
11-3031.01,Treasurers and Controllers,1,11-3031.01,Treasurers and Controllers,11-3031,Financial Managers,0120
11-3031.02,"Financial Managers, Branch or Department",1,11-3031.00,Financial Managers,11-3031,Financial Managers,0120
11-3051.00,Industrial Production Managers,0,11-3051.00,Industrial Production Managers,11-3051,Industrial Production Managers,0140
11-3051.01,Quality Control Systems Managers,0,11-3051.01,Quality Control Systems Managers,11-3051,Industrial Production Managers,0140
11-3051.02,Geothermal Production Managers,0,11-3051.02,Geothermal Production Managers,11-3051,Industrial Production Managers,0140
11-3051.03,Biofuels Production Managers,0,11-3051.03,Biofuels Production Managers,11-3051,Industrial Production Managers,0140
11-3051.04,Biomass Power Plant Managers,0,11-3051.04,Biomass Power Plant Managers,11-3051,Industrial Production Managers,0140
11-3051.06,Hydroelectric Production Managers,0,11-3051.06,Hydroelectric Production Managers,11-3051,Industrial Production Managers,0140
11-3061.00,Purchasing Managers,1,11-3061.00,Purchasing Managers,11-3061,Purchasing Managers,0150
11-3071.01,Transportation Managers,1,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",0160
11-3071.02,Storage and Distribution Managers,0,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",0160
11-3071.03,Logistics Managers,1,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",0160
11-3111.00,Compensation and Benefits Managers,1,11-3111.00,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers,0135
11-3121.00,Human Resources Managers,1,11-3121.00,Human Resources Managers,11-3121,Human Resources Managers,0136
11-3131.00,Training and Development Managers,1,11-3131.00,Training and Development Managers,11-3131,Training and Development Managers,0137
11-9013.01,Nursery and Greenhouse Managers,0,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0205
11-9013.02,Farm and Ranch Managers,0,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0205
11-9013.03,Aquacultural Managers,0,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0205
11-9021.00,Construction Managers,0,11-9021.00,Construction Managers,11-9021,Construction Managers,0220
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",0,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11-9031,"Education and Childcare Administrators, Preschool and Daycare",0230
11-9032.00,"Education Administrators, Elementary and Secondary School",1,11-9032.00,"Education Administrators, Kindergarten through Secondary",11-9032,"Education Administrators, Kindergarten through Secondary",0230
11-9033.00,"Education Administrators, Postsecondary",1,11-9033.00,"Education Administrators, Postsecondary",11-9033,"Education Administrators, Postsecondary",0230
11-9039.01,Distance Learning Coordinators,1,11-9039.00,"Education Administrators, All Other",11-9039,"Education Administrators, All Other",0230
11-9039.02,Fitness and Wellness Coordinators,1,11-9179.01,Fitness and Wellness Coordinators,11-9179,"Personal Service Managers, All Other",0425
11-9041.00,Architectural and Engineering Managers,1,11-9041.00,Architectural and Engineering Managers,11-9041,Architectural and Engineering Managers,0300
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041,Architectural and Engineering Managers,0300
11-9051.00,Food Service Managers,0,11-9051.00,Food Service Managers,11-9051,Food Service Managers,0310
11-9061.00,Funeral Service Managers,0,11-9171.00,Funeral Home Managers,11-9171,Funeral Home Managers,0325
11-9071.00,Gaming Managers,0,11-9071.00,Gambling Managers,11-9071,Gambling Managers,0330
11-9081.00,Lodging Managers,0,11-9081.00,Lodging Managers,11-9081,Lodging Managers,0340
11-9111.00,Medical and Health Services Managers,1,11-9111.00,Medical and Health Services Managers,11-9111,Medical and Health Services Managers,0350
11-9121.00,Natural Sciences Managers,1,11-9121.00,Natural Sciences Managers,11-9121,Natural Sciences Managers,0360
11-9121.01,Clinical Research Coordinators,1,11-9121.01,Clinical Research Coordinators,11-9121,Natural Sciences Managers,0360
11-9121.02,Water Resource Specialists,1,11-9121.02,Water Resource Specialists,11-9121,Natural Sciences Managers,0360
11-9131.00,Postmasters and Mail Superintendents,1,11-9131.00,Postmasters and Mail Superintendents,11-9131,Postmasters and Mail Superintendents,0400
11-9141.00,"Property, Real Estate, and Community Association Managers",1,11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141,"Property, Real Estate, and Community Association Managers",0410
11-9151.00,Social and Community Service Managers,1,11-9151.00,Social and Community Service Managers,11-9151,Social and Community Service Managers,0420
11-9161.00,Emergency Management Directors,0,11-9161.00,Emergency Management Directors,11-9161,Emergency Management Directors,0425
